Property_ID,Price_KES,Location,Bedrooms,Bathrooms,Size_sqm,Scraped_Date
Sign UpLoginFor SaleHouses for SaleApartments for ,6200000,"6th Floor, Wing C - West End Towers, Waiyaki Way, Westlands, Nairobi",1,1,48,2026-06-23
0173 Bed Apartment with En Suite in Kileleshwa3 Be,6200000,Studio Apartment with En Suite in Westlands Area,1,1,48,2026-06-23
3 Bed Apartment with En Suite in Kileleshwa3 Bed A,10000000,3 bedroom apartment for sale in Kileleshwa,3,2,NaN,2026-06-23
0152 Bed Apartment with En Suite in Kileleshwa2 Be,6000000,2 bedroom apartment for sale in Kileleshwa,2,1,NaN,2026-06-23
2 Bed Apartment with En Suite in Kileleshwa2 Bed A,6000000,2 bedroom apartment for sale in Kileleshwa,2,1,NaN,2026-06-23
1164 Bed Apartment with En Suite in Westlands Area,18000000,4 bedroom apartment for sale in Westlands,4,4,NaN,2026-06-23
4 Bed Apartment with En Suite in Westlands Area4 B,18000000,4 bedroom apartment for sale in Westlands,4,4,NaN,2026-06-23
09 hours ago161 Bed Apartment with Swimming Pool i,6800000,Kileleshwa,1,1,NaN,2026-06-23
1 Bed Apartment with Swimming Pool in Kileleshwa1 ,6800000,Kileleshwa,1,1,NaN,2026-06-23
010 hours ago73 Bed Apartment with En Suite at Kil,11500000,Kileleshwa,3,3,196,2026-06-23
3 Bed Apartment with En Suite at Kileleshwa Nairob,11500000,Kileleshwa,3,3,196,2026-06-23
010 hours ago163 Bed Apartment with Swimming Pool ,12500000,"Garden Estate, Roysambu",3,2,NaN,2026-06-23
3 Bed Apartment with Swimming Pool in Garden Estat,12500000,"Garden Estate, Roysambu",3,2,NaN,2026-06-23
010 hours ago162 Bed Apartment with Swimming Pool ,8500000,"Garden Estate, Roysambu",2,2,NaN,2026-06-23
2 Bed Apartment with Swimming Pool in Garden Estat,8500000,"Garden Estate, Roysambu",2,2,NaN,2026-06-23
010 hours ago151 Bed Apartment with Swimming Pool ,5900000,"Garden Estate, Roysambu",1,1,NaN,2026-06-23
1 Bed Apartment with Swimming Pool in Garden Estat,5900000,"Garden Estate, Roysambu",1,1,NaN,2026-06-23
010 hours ago11Serviced 3 Bed Apartment with En Su,18000000,Kilimani,3,4,200,2026-06-23
Serviced 3 Bed Apartment with En Suite at Kilimani,18000000,Kilimani,3,4,200,2026-06-23
011 hours ago112 Bed Apartment with En Suite in We,12500000,"Westlands Area, Westlands",2,2,92,2026-06-23
2 Bed Apartment with En Suite in Westlands Area2 B,12500000,"Westlands Area, Westlands",2,2,92,2026-06-23
011 hours ago111 Bed Apartment with En Suite in We,8600000,"Westlands Area, Westlands",1,1,65,2026-06-23
1 Bed Apartment with En Suite in Westlands Area1 B,8600000,"Westlands Area, Westlands",1,1,65,2026-06-23
011 hours ago201 Bed Apartment with Swimming Pool ,7500000,"Westlands Area, Westlands",1,1,74,2026-06-23
1 Bed Apartment with Swimming Pool at St. Michael',7500000,"Westlands Area, Westlands",1,1,74,2026-06-23
011 hours ago162 Bed Apartment with En Suite in La,12500000,Lavington,2,2,120,2026-06-23
2 Bed Apartment with En Suite in Lavington2 Bed Ap,12500000,Lavington,2,2,120,2026-06-23
011 hours ago202 Bed Apartment with En Suite at Of,15000000,Kilimani,2,2,95,2026-06-23
2 Bed Apartment with En Suite at Off Nyangumi Rd2 ,15000000,Kilimani,2,2,95,2026-06-23
1 Bed Apartment with Swimming Pool at Off Nyangumi,9450000,Kilimani,1,1,59,2026-06-23
011 hours ago142 Bed Apartment with En Suite in We,13800000,"Westlands Area, Westlands",2,2,109,2026-06-23
011 hours ago113 Bed Apartment with En Suite at Mu,230,"Westlands Area, Westlands",3,3,230,2026-06-23
3 Bed Apartment with En Suite at Muthithi Road3 Be,230,"Westlands Area, Westlands",3,3,230,2026-06-23
011 hours ago91 Bed Apartment with En Suite in Wes,8200000,a one bedroom apartment for sale in Westlands,1,1,67,2026-06-23
011 hours ago152 Bed Apartment with En Suite at Ki,11600000,Kilimani,2,2,124,2026-06-23
2 Bed Apartment with En Suite at Kindaruma Road2 B,11600000,Kilimani,2,2,124,2026-06-23
011 hours ago151 Bed Apartment with Swimming Pool ,8000000,Kilimani,1,1,84,2026-06-23
1 Bed Apartment with Swimming Pool at Kindaruma Ro,8000000,Kilimani,1,1,84,2026-06-23
011 hours ago9Studio Apartment with En Suite in We,6200000,Studio Apartment with En Suite in Westlands Area,NaN,1,48,2026-06-23
Studio Apartment with En Suite in Westlands AreaSt,6200000,Studio Apartment with En Suite in Westlands Area,NaN,1,48,2026-06-23
12 days ago103 Bed Apartment with En Suite in Lavi,8500000,"Westlands Area, Westlands",1,1,77,2026-06-23
3 Bed Apartment with En Suite in Lavington3 Bed Ap,9000000,Lavington,3,3,NaN,2026-06-23
04 days ago152 Bed Apartment with En Suite in Kili,6000000,2 bedroom apartment for sale in Kilimani,2,1,NaN,2026-06-23
2 Bed Apartment with En Suite in Kilimani2 Bed Apa,6000000,2 bedroom apartment for sale in Kilimani,2,1,NaN,2026-06-23
02 days ago103 Bed Apartment with En Suite in Kile,9000000,Kileleshwa,3,3,NaN,2026-06-23
1 Bed Apartment with Swimming Pool at General Math,9400000,"Westlands Area, Westlands",1,1,74,2026-06-23
011 hours ago173 Bed Apartment with En Suite in La,15500000,Lavington,3,3,150,2026-06-23
012 hours ago161 Bed Apartment with En Suite in We,8700000,"Westlands Area, Westlands",1,1,742,2026-06-23
012 hours ago182 Bed Apartment with En Suite in We,15000000,"Westlands Area, Westlands",2,2,115,2026-06-23
012 hours ago191 Bed Apartment with Swimming Pool ,8150000,"Westlands Area, Westlands",1,1,64,2026-06-23
014 hours ago53 Bed Apartment with En Suite in Wes,18765900,"Westlands Area, Westlands",3,4,147,2026-06-23
