Property_ID,Price_KES,Location,Bedrooms,Bathrooms,Size_sqm,Scraped_Date
Sign UpLoginFor SaleHouses for SaleApartments for ,3000000,"6th Floor, Wing C - West End Towers, Waiyaki Way, Westlands, Nairobi",1,1,43,2026-06-09
0Yesterday83 Bed Apartment with En Suite in Westla,3000000,Kilimani,1,1,43,2026-06-09
3 Bed Apartment with En Suite in Westlands Area3 B,11000000,"Westlands Area, Westlands",3,3,NaN,2026-06-09
019Furnished 1 Bed Apartment with En Suite in Mire,5200000,"Mirema, Roysambu",1,1,NaN,2026-06-09
Furnished 1 Bed Apartment with En Suite in MiremaF,5200000,"Mirema, Roysambu",1,1,NaN,2026-06-09
0133 Bed Apartment with En Suite at Nextgen Mall3 ,15000000,South C,3,3,NaN,2026-06-09
3 Bed Apartment with En Suite at Nextgen Mall3 Bed,15000000,South C,3,3,NaN,2026-06-09
0Today152 Bed Apartment with Swimming Pool in Kile,9200000,Kileleshwa,2,2,99,2026-06-09
2 Bed Apartment with Swimming Pool in Kileleshwa2 ,9200000,Kileleshwa,2,2,99,2026-06-09
0Today82 Bed Apartment with En Suite in Westlands ,7000000,"Westlands Area, Westlands",2,2,NaN,2026-06-09
2 Bed Apartment with En Suite in Westlands Area2 B,7000000,"Westlands Area, Westlands",2,2,NaN,2026-06-09
0Today101 Bed Apartment with En Suite in Westlands,4000000,"Westlands Area, Westlands",1,1,NaN,2026-06-09
1 Bed Apartment with En Suite in Westlands Area1 B,4000000,"Westlands Area, Westlands",1,1,NaN,2026-06-09
0Today151 Bed Apartment with Swimming Pool in Kile,5100000,Kileleshwa,1,1,48,2026-06-09
1 Bed Apartment with Swimming Pool in Kileleshwa1 ,5100000,Kileleshwa,1,1,48,2026-06-09
0Today132 Bed Apartment with Swimming Pool at Spor,16000000,"Westlands Area, Westlands",2,2,90,2026-06-09
2 Bed Apartment with Swimming Pool at Sports Road2,16000000,"Westlands Area, Westlands",2,2,90,2026-06-09
0Today131 Bed Apartment with Swimming Pool at Spor,12600000,"Westlands Area, Westlands",1,1,70,2026-06-09
1 Bed Apartment with Swimming Pool at Sports Road1,12600000,"Westlands Area, Westlands",1,1,70,2026-06-09
0112 Bed Apartment with En Suite in Westlands Area,22000000,"Westlands Area, Westlands",2,2,175,2026-06-09
0Today163 Bed Apartment with En Suite in Kilimani3,9000000,Kilimani,3,3,NaN,2026-06-09
3 Bed Apartment with En Suite in Kilimani3 Bed Apa,9000000,Kilimani,3,3,NaN,2026-06-09
0174 Bed Apartment with En Suite in Westlands Area,55000000,"Westlands Area, Westlands",4,4,215,2026-06-09
4 Bed Apartment with En Suite in Westlands Area4 B,55000000,"Westlands Area, Westlands",4,4,215,2026-06-09
0Today153 Bed Apartment with En Suite at Wood Aven,12900000,Kilimani,3,3,117,2026-06-09
3 Bed Apartment with En Suite at Wood Avenue3 Bed ,12900000,Kilimani,3,3,117,2026-06-09
0Today71 Bed Apartment with Swimming Pool in Kilim,5000000,Kilimani,1,1,NaN,2026-06-09
1 Bed Apartment with Swimming Pool in Kilimani1 Be,5000000,Kilimani,1,1,NaN,2026-06-09
0Today161 Bed Apartment with Swimming Pool at Pepo,5000000,"Westlands Area, Westlands",1,1,43,2026-06-09
1 Bed Apartment with Swimming Pool at Peponi Rd1 B,5000000,"Westlands Area, Westlands",1,1,43,2026-06-09
0Today5Studio Apartment with Gym in KilimaniStudio,3000000,Studio Apartment with Gym in Kilimani,NaN,1,NaN,2026-06-09
Studio Apartment with Gym in KilimaniStudio Apartm,3000000,Studio Apartment with Gym in Kilimani,NaN,1,NaN,2026-06-09
0Today104 Bed Apartment with En Suite in Kilimani4,13000000,Kilimani,4,4,NaN,2026-06-09
4 Bed Apartment with En Suite in Kilimani4 Bed Apa,13000000,Kilimani,4,4,NaN,2026-06-09
0Today164 Bed Apartment with En Suite in Kilimani4,13000000,Kilimani,4,4,NaN,2026-06-09
0Today153 Bed Apartment with En Suite in Kilimani3,10500000,Kilimani,3,3,NaN,2026-06-09
0Today112 Bed Apartment with En Suite in Kilimani2,6000000,Kilimani,2,2,NaN,2026-06-09
2 Bed Apartment with En Suite in Kilimani2 Bed Apa,6000000,Kilimani,2,2,NaN,2026-06-09
