Property_ID,Price_KES,Location,Bedrooms,Bathrooms,Size_sqm,Scraped_Date
Sign UpLoginFor SaleHouses for SaleApartments for ,4000000,"6th Floor, Wing C - West End Towers, Waiyaki Way, Westlands, Nairobi",1,1,200,2026-06-16
02 days ago164 Bed Apartment with En Suite in Lavi,4000000,Lavington,1,1,200,2026-06-16
4 Bed Apartment with En Suite in Lavington4 Bed Ap,13000000,Lavington,4,5,NaN,2026-06-16
0Yesterday102 Bed Apartment with En Suite in Kilel,6000000,Kileleshwa,2,2,NaN,2026-06-16
2 Bed Apartment with En Suite in Kileleshwa2 Bed A,6000000,Kileleshwa,2,2,NaN,2026-06-16
0172 Bed Apartment with En Suite in Kilimani2 Bed ,6000000,2 bedroom apartment for sale in Kilimani,2,1,NaN,2026-06-16
2 Bed Apartment with En Suite in Kilimani2 Bed Apa,6000000,2 bedroom apartment for sale in Kilimani,2,1,NaN,2026-06-16
03 days ago91 Bed Apartment with En Suite in Westl,6500000,"Westlands Area, Westlands",1,2,NaN,2026-06-16
1 Bed Apartment with En Suite in Westlands Area1 B,6500000,"Westlands Area, Westlands",1,2,NaN,2026-06-16
0Today83 Bed Apartment with En Suite in Westlands ,11000000,"Westlands Area, Westlands",3,3,NaN,2026-06-16
3 Bed Apartment with En Suite in Westlands Area3 B,11000000,"Westlands Area, Westlands",3,3,NaN,2026-06-16
0Today172 Bed Apartment with En Suite in Westlands,7000000,"Westlands Area, Westlands",2,2,NaN,2026-06-16
2 Bed Apartment with En Suite in Westlands Area2 B,7000000,"Westlands Area, Westlands",2,2,NaN,2026-06-16
0Today122 Bed Apartment with En Suite in Westlands,7500000,"Westlands Area, Westlands",2,2,NaN,2026-06-16
03 days ago132 Bed Apartment with En Suite in West,7000000,"Westlands Area, Westlands",2,3,NaN,2026-06-16
0Today101 Bed Apartment with En Suite in Westlands,4000000,"Westlands Area, Westlands",1,1,NaN,2026-06-16
0Today81 Bed Apartment with En Suite in Westlands ,4500000,"Westlands Area, Westlands",1,1,NaN,2026-06-16
03 days ago201 Bed Apartment with En Suite in West,5000000,"Westlands Area, Westlands",1,2,NaN,2026-06-16
03 days ago121 Bed Apartment with En Suite in West,6000000,"Westlands Area, Westlands",1,2,NaN,2026-06-16
0131 Bed Apartment with En Suite in Lavington1 Bed,5000000,Lavington,1,2,NaN,2026-06-16
1 Bed Apartment with En Suite in Lavington1 Bed Ap,5000000,Lavington,1,2,NaN,2026-06-16
05 days ago91 Bed Apartment with En Suite in Lavin,6000000,Lavington,1,2,NaN,2026-06-16
04 days ago72 Bed Apartment with En Suite in Lavin,9700000,Lavington,2,3,NaN,2026-06-16
2 Bed Apartment with En Suite in Lavington2 Bed Ap,9700000,Lavington,2,3,NaN,2026-06-16
0Today171 Bed Apartment with En Suite in Kileleshw,4000000,Kileleshwa,1,1,NaN,2026-06-16
1 Bed Apartment with En Suite in Kileleshwa1 Bed A,4000000,Kileleshwa,1,1,NaN,2026-06-16
0Today101 Bed Apartment with En Suite in Kileleshw,3000000,Kileleshwa,1,1,NaN,2026-06-16
0Today153 Bed Apartment with En Suite at Mbaazi Co,30000000,Lavington,3,3,200,2026-06-16
3 Bed Apartment with En Suite at Mbaazi Court3 Bed,30000000,Lavington,3,3,200,2026-06-16
0Today164 Bed Apartment with En Suite in Lavington,20000000,Lavington,4,5,NaN,2026-06-16
0Today153 Bed Apartment with En Suite in Lavington,10500000,Lavington,3,3,NaN,2026-06-16
3 Bed Apartment with En Suite in Lavington3 Bed Ap,10500000,Lavington,3,3,NaN,2026-06-16
0Today163 Bed Apartment with En Suite in Lavington,9000000,Lavington,3,3,NaN,2026-06-16
0Today102 Bed Apartment with En Suite in Lavington,7000000,Lavington,2,2,NaN,2026-06-16
0Today112 Bed Apartment with En Suite in Lavington,6000000,Lavington,2,2,NaN,2026-06-16
0Today81 Bed Apartment with En Suite in Lavington1,4000000,Lavington,1,1,NaN,2026-06-16
14 days ago112 Bed Apartment with En Suite in Lavi,3000000,1 bedroom apartment for sale in Kilimani,1,1,124,2026-06-16
0174 Bed Apartment with En Suite in Lavington4 Bed,13500000,4 bedroom apartment for sale in Lavington,4,4,NaN,2026-06-16
14 days ago101 Bed Apartment with En Suite in Kile,3000000,Kileleshwa,1,1,NaN,2026-06-16
0Today111 Bed Apartment with En Suite in Lavington,3000000,Lavington,1,1,NaN,2026-06-16
04 days ago81 Bed Apartment with En Suite in Lavin,5700000,Lavington,1,2,NaN,2026-06-16
03 days ago72 Bed Apartment with En Suite in Lavin,9700000,Lavington,2,3,NaN,2026-06-16
13 days ago151 Bed Apartment with En Suite in Lavi,4500000,Lavington,1,2,NaN,2026-06-16
0Today61 Bed Apartment with En Suite at Riara Road,5500000,Lavington,1,1,50,2026-06-16
1 Bed Apartment with En Suite at Riara Road1 Bed A,5500000,Lavington,1,1,50,2026-06-16
0Today142 Bed Apartment with En Suite at Muthangar,17000000,Lavington,2,2,124,2026-06-16
2 Bed Apartment with En Suite at Muthangari Road2 ,17000000,Lavington,2,2,124,2026-06-16
0Today164 Bed Apartment with En Suite in Westlands,18000000,4 bedroom apartment for sale in Westlands,4,4,NaN,2026-06-16
4 Bed Apartment with En Suite in Westlands Area4 B,18000000,4 bedroom apartment for sale in Westlands,4,4,NaN,2026-06-16
0Today173 Bed Apartment with En Suite in Westlands,13000000,3 bedroom apartment for sale in Westlands,3,2,NaN,2026-06-16
0Today112 Bed Apartment with En Suite in Westlands,7000000,2 bedroom apartment for sale in Westlands,2,1,NaN,2026-06-16
0Today111 Bed Apartment with En Suite in Westlands,4000000,1 bedroom apartment for sale in Westlands,1,1,NaN,2026-06-16
0Today174 Bed Apartment with En Suite in Lavington,13500000,4 bedroom apartment for sale in Lavington,4,4,NaN,2026-06-16
0Today174 Bed Apartment with En Suite in Kileleshw,13500000,4 bedroom apartment for sale in Kileleshwa,4,4,NaN,2026-06-16
4 Bed Apartment with En Suite in Kileleshwa4 Bed A,13500000,4 bedroom apartment for sale in Kileleshwa,4,4,NaN,2026-06-16
0Today173 Bed Apartment with En Suite in Lavington,10000000,3 bedroom apartment for sale in Lavington,3,2,NaN,2026-06-16
0Today174 Bed Apartment with En Suite in Kilimani4,13500000,4 bedroom apartment for sale in Kilimani,4,4,NaN,2026-06-16
4 Bed Apartment with En Suite in Kilimani4 Bed Apa,13500000,4 bedroom apartment for sale in Kilimani,4,4,NaN,2026-06-16
0Today173 Bed Apartment with En Suite in Kileleshw,10000000,3 bedroom apartment for sale in Kileleshwa,3,2,NaN,2026-06-16
3 Bed Apartment with En Suite in Kileleshwa3 Bed A,10000000,3 bedroom apartment for sale in Kileleshwa,3,2,NaN,2026-06-16
