Property_ID,Price_KES,Location,Bedrooms,Bathrooms,Size_sqm,Scraped_Date
Sign UpLoginFor SaleHouses for SaleApartments for ,13500000,"6th Floor, Wing C - West End Towers, Waiyaki Way, Westlands, Nairobi",1,4,62,2026-05-26
0103 Bed Apartment with En Suite in Kileleshwa3 Be,13500000,4 bedroom apartment for sale in Kileleshwa,4,4,62,2026-05-26
3 Bed Apartment with En Suite in Kileleshwa3 Bed A,9000000,Kileleshwa,3,3,NaN,2026-05-26
013Serviced 2 Bed Apartment with En Suite at Wood ,8200000,Kilimani,2,2,92,2026-05-26
Serviced 2 Bed Apartment with En Suite at Wood Ave,8200000,Kilimani,2,2,92,2026-05-26
0112 Bed Apartment with En Suite in Kilimani2 Bed ,6000000,Kilimani,2,2,NaN,2026-05-26
2 Bed Apartment with En Suite in Kilimani2 Bed Apa,6000000,Kilimani,2,2,NaN,2026-05-26
0Today82 Bed Apartment with En Suite in Kileleshwa,6000000,Kileleshwa,2,2,NaN,2026-05-26
2 Bed Apartment with En Suite in Kileleshwa2 Bed A,6000000,Kileleshwa,2,2,NaN,2026-05-26
0Today101 Bed Apartment with En Suite in Kileleshw,3000000,Kileleshwa,1,1,NaN,2026-05-26
1 Bed Apartment with En Suite in Kileleshwa1 Bed A,3000000,Kileleshwa,1,1,NaN,2026-05-26
0Today164 Bed Apartment with En Suite in Lavington,13000000,Lavington,4,5,NaN,2026-05-26
4 Bed Apartment with En Suite in Lavington4 Bed Ap,13000000,Lavington,4,5,NaN,2026-05-26
0Today163 Bed Apartment with En Suite in Lavington,9000000,Lavington,3,3,NaN,2026-05-26
3 Bed Apartment with En Suite in Lavington3 Bed Ap,9000000,Lavington,3,3,NaN,2026-05-26
0Today112 Bed Apartment with En Suite in Lavington,6000000,Lavington,2,2,NaN,2026-05-26
2 Bed Apartment with En Suite in Lavington2 Bed Ap,6000000,Lavington,2,2,NaN,2026-05-26
0Today111 Bed Apartment with En Suite in Lavington,3000000,Lavington,1,1,NaN,2026-05-26
1 Bed Apartment with En Suite in Lavington1 Bed Ap,3000000,Lavington,1,1,NaN,2026-05-26
0Today124 Bed Apartment with En Suite in Kileleshw,20000000,Kileleshwa,4,5,NaN,2026-05-26
